"2024-03-31 23:30:05",1,"regular","Flyin W","13011 MO-96|Carthage, MO","- - -",""
"2024-03-31 23:30:05",2,"regular","The Corner","824 E Fairview Ave|Carthage, MO","- - -",""
"2024-03-31 23:30:05",3,"regular","Phillips 66","410 S Garrison Ave|Carthage, MO","- - -",""
"2024-03-31 23:30:05",4,"regular","Phillips 66","201 E Central Ave|Carthage, MO","- - -",""
"2024-03-31 23:30:05",5,"regular","Conoco","301 W Central Ave|Carthage, MO","- - -",""
"2024-03-31 23:30:05",6,"regular","Murphy USA","2635 Grand Ave|Carthage, MO","$3.02",3.02
"2024-03-31 23:30:05",7,"regular","Casey's","917 W Central Ave|Carthage, MO","$3.06",3.06
"2024-03-31 23:30:05",8,"regular","Casey's","2214 Fairlawn Ave|Carthage, MO","$3.06",3.06
"2024-03-31 23:30:05",9,"regular","Phillips 66","1224 W Central Ave|Carthage, MO","$3.06",3.06
"2024-03-31 23:30:05",10,"regular","Phillips 66","2812 Hazel St|Carthage, MO","$3.06",3.06
"2024-04-01 11:30:12",1,"regular","Flyin W","13011 MO-96|Carthage, MO","- - -",""
"2024-04-01 11:30:12",2,"regular","Phillips 66","201 E Central Ave|Carthage, MO","- - -",""
"2024-04-01 11:30:12",3,"regular","Phillips 66","410 S Garrison Ave|Carthage, MO","- - -",""
"2024-04-01 11:30:12",4,"regular","The Corner","824 E Fairview Ave|Carthage, MO","- - -",""
"2024-04-01 11:30:12",5,"regular","Conoco","301 W Central Ave|Carthage, MO","- - -",""
"2024-04-01 11:30:12",6,"regular","Murphy USA","2635 Grand Ave|Carthage, MO","$3.02",3.02
"2024-04-01 11:30:12",7,"regular","Casey's","2214 Fairlawn Ave|Carthage, MO","$3.06",3.06
"2024-04-01 11:30:12",8,"regular","Casey's","917 W Central Ave|Carthage, MO","$3.06",3.06
"2024-04-01 11:30:12",9,"regular","Phillips 66","1224 W Central Ave|Carthage, MO","$3.06",3.06
"2024-04-01 11:30:12",10,"regular","Phillips 66","2812 Hazel St|Carthage, MO","$3.06",3.06
"2024-04-02 11:30:13",1,"regular","The Corner","824 E Fairview Ave|Carthage, MO","- - -",""
"2024-04-02 11:30:13",2,"regular","Phillips 66","410 S Garrison Ave|Carthage, MO","- - -",""
"2024-04-02 11:30:13",3,"regular","Phillips 66","201 E Central Ave|Carthage, MO","- - -",""
"2024-04-02 11:30:13",4,"regular","Conoco","301 W Central Ave|Carthage, MO","- - -",""
"2024-04-02 11:30:13",5,"regular","Murphy USA","2635 Grand Ave|Carthage, MO","$3.02",3.02
